dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Border Collie,herding,3.64,45,20143.0,1,1.0,12.52,0.79,2,0.78,623,0.71,324.0,0.68,2,0.75,3,0.0,4.02,1.0,29.0,3.64,45.0,medium,no data,no data,51,20,Brightest,<5,>95,164,"eye problems, deafness","Collie eye anomaly, deafness",17404,0.48,623,budget,175,1050,4,4,4,5.34,278.0,3486,13095,1046,784,121,126,244,177,200
Border Terrier,terrier,3.61,80,22638.0,30,0.7,14.0,0.98,0,1.0,833,0.44,324.0,0.68,2,0.75,1,1.0,4.99,2.0,1.0,3.61,80.0,small,6,13.5,no data,no data,Above average,15-25,>70,177,none,none,19575,0.14,833,mid-price,250,1200,4,4,4,5.34,278.0,3898,14643,1046,784,121,126,244,177,200
Brittany,sporting,3.54,30,22589.0,19,0.8,12.92,0.89,0,1.0,618,0.72,466.0,0.23,2,0.75,2,0.5,4.42,3.0,11.0,3.54,30.0,medium,16,35,48,19,Excellent,15-May,>85,28,none,none,19503,0.16,618,budget,300,1200,5.75,4,7.5,7.67,400.0,5171,13514,1046,784,121,126,244,177,200
Cairn Terrier,terrier,3.53,59,21992.0,35,0.61,13.84,0.95,2,0.78,435,0.95,324.0,0.68,2,0.75,1,1.0,4.91,4.0,2.0,3.53,59.0,small,6,14,25,10,Above average,15-25,>70,156,"'lion jaw', heart problems  ","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",18965,0.23,435,budget,300,600,4,4,4,5.34,278.0,3854,14476,1046,784,121,126,244,177,200
Welsh Springer Spaniel,sporting,3.34,130,20224.0,31,0.69,12.49,0.77,1,0.89,750,0.55,324.0,0.68,2,0.75,1,1.0,4.71,5.0,4.0,3.34,130.0,medium,no data,no data,46,18,Above average,15-25,>70,172,hip problems,hip dysplasia,17492,0.46,750,mid-price,750,750,4,4,4,5.34,278.0,3478,13064,1046,784,121,126,244,177,200
English Cocker Spaniel,sporting,3.33,63,18993.0,18,0.82,11.66,0.54,0,1.0,800,0.52,324.0,0.68,2,0.75,1,1.0,4.7,6.0,5.0,3.33,63.0,medium,14,30,41,16,Excellent,15-May,>85,1199,none,none,16442,0.63,800,mid-price,600,1000,4,4,4,5.34,278.0,3247,12196,1046,784,121,126,244,177,200
Cocker Spaniel,sporting,3.3,27,24330.0,20,0.79,12.5,0.78,2,0.78,465,0.93,674.0,0.21,2,0.75,1,1.0,4.67,7.0,6.0,3.3,27.0,small,11,25,37,14.5,Excellent,15-May,>85,-,"eye, skin problems","Retinal dysplasia, seborrhea",19888,0.11,465,budget,250,800,-,-,-,9,492.0,6149,13074,1046,784,121,126,244,177,200
Papillon,toy,3.26,38,21001.0,8,0.92,13.0,0.9,5,0.44,740,0.56,324.0,0.68,2,0.75,2,0.5,4.13,8.0,22.0,3.26,38.0,small,no data,no data,24,9.5,Brightest,<5,>95,100,"cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease",18157,0.37,740,mid-price,400,1000,4,4,4,5.34,278.0,3620,13597,1046,784,121,126,244,177,200
Australian Cattle Dog,herding,3.25,60,20395.0,10,0.9,11.67,0.55,1,0.89,530,0.85,466.0,0.23,2,0.75,3,0.0,3.63,9.0,52.0,3.25,60.0,medium,no data,no data,47,18.5,Brightest,<5,>95,11,hip problems,hip dysplasia,17607,0.43,530,budget,250,1000,5.75,4,7.5,7.67,400.0,4671,12206,1046,784,121,126,244,177,200
Shetland Sheepdog,herding,3.22,20,21006.0,6,0.94,12.53,0.8,5,0.44,465,0.93,405.0,0.63,1,0.5,1,1.0,4.47,11.0,8.0,3.22,20.0,small,10.15,22,37,14.5,Brightest,<5,>95,439,"eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease",17469,0.47,465,budget,150,1000,-,-,-,6,295.0,3698,13106,1046,784,121,126,244,177,200
Siberian Husky,working,3.22,16,22049.0,45,0.45,12.58,0.83,0,1.0,650,0.67,466.0,0.23,3,1.0,1,1.0,4.72,10.0,3.0,3.22,16.0,medium,22,47.5,55,21.75,Average,25-40,>50,129,none,none,19043,0.21,650,budget,450,1000,5.75,4,7.5,7.67,400.0,5035,13158,1046,784,121,126,244,177,200
Lhasa Apso,non-sporting,3.21,62,22031.0,68,0.15,13.92,0.97,1,0.89,350,0.98,324.0,0.68,2,0.75,1,1.0,4.58,12.0,7.0,3.21,62.0,small,7,15,27,10.5,Fair,40-80,>30,91,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",18985,0.22,350,budget,175,550,4,4,4,5.34,278.0,3876,14560,1046,784,121,126,244,177,200
Affenpinscher,toy,3.2,139,18333.0,37,0.56,11.42,0.47,0,1.0,510,0.9,324.0,0.68,2,0.75,2,0.5,4.07,13.0,26.0,3.2,139.0,small,no data,no data,26,10.25,Above average,15-25,>70,21,none,none,15835,0.71,510,budget,200,800,4,4,4,5.34,278.0,3180,11945,1046,784,121,126,244,177,200
Dachshund,hound,3.19,9,20113.0,49,0.37,12.63,0.85,2,0.78,423,0.97,324.0,0.68,2,0.75,3,0.0,3.57,14.0,54.0,3.19,9.0,small,11,24,no data,no data,Average,25-40,>50,265,"skin, spinal problems","acanthosis nigricans, Intervertebral disk disease",17350,0.49,423,budget,125,750,4,4,4,5.34,278.0,3517,13210,1046,784,121,126,244,177,200
Miniature Schnauzer,terrier,3.19,12,20087.0,12,0.87,11.81,0.56,2,0.78,715,0.57,405.0,0.63,2,0.75,2,0.5,4.07,14.0,27.0,3.19,12.0,small,7,15.5,33,13,Excellent,15-May,>85,232,"liver, sinus problems","Portosystemic shunt, Sick sinus syndrome",16753,0.6,715,mid-price,200,1600,-,-,-,6,295.0,3486,12353,1046,784,121,126,244,177,200
Chihuahua,toy,3.15,14,26250.0,67,0.16,16.5,1.0,1,0.89,588,0.78,324.0,0.68,2,0.75,3,0.0,3.53,16.0,55.0,3.15,14.0,small,2,5.5,13,5,Fair,40-80,>30,-,knee problems,Patellar luxation,22640,0.01,588,budget,200,1500,4,4,4,5.34,278.0,4594,17258,1046,784,121,126,244,177,200
Australian Terrier,terrier,3.11,121,17892.0,34,0.64,11.05,0.4,0,1.0,640,0.7,324.0,0.68,2,0.75,2,0.5,3.99,17.0,30.0,3.11,121.0,small,no data,no data,27,10.5,Above average,15-25,>70,241,none,none,15475,0.75,640,budget,200,900,4,4,4,5.34,278.0,3077,11558,1046,784,121,126,244,177,200
Whippet,hound,3.11,57,20976.0,51,0.34,12.87,0.87,0,1.0,915,0.36,324.0,0.68,2,0.75,2,0.5,3.99,17.0,30.0,3.11,57.0,medium,no data,no data,51,20,Average,25-40,>50,500,none,none,18160,0.36,915,mid-price,650,1200,4,4,4,5.34,278.0,3584,13461,1046,784,121,126,244,177,200
English Springer Spaniel,sporting,3.09,29,21946.0,13,0.86,12.54,0.82,4,0.56,615,0.74,466.0,0.23,2,0.75,1,1.0,4.47,19.0,9.0,3.09,29.0,medium,20,45,50,19.5,Excellent,15-May,>85,194,"hip, eye, skin problems; enzyme deficiency","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea",18950,0.24,615,budget,450,1500,5.75,4,7.5,7.67,400.0,5019,13116,1046,784,121,126,244,177,200
West Highland White Terrier,terrier,3.08,35,20490.0,47,0.41,12.8,0.86,3,0.67,538,0.84,324.0,0.68,2,0.75,1,1.0,4.45,20.0,10.0,3.08,35.0,small,no data,no data,27,10.5,Average,25-40,>50,80,"'lion jaw', 'dry eye', skin problems","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea",17690,0.4,538,budget,275,750,4,4,4,5.34,278.0,3564,13388,1046,784,121,126,244,177,200
Bedlington Terrier,terrier,3.07,134,22107.0,40,0.54,13.51,0.93,2,0.78,1058,0.22,324.0,0.68,2,0.75,2,0.5,3.95,21.0,35.0,3.07,134.0,small,9,20,no data,no data,Average,25-40,>50,54,"liver, eye problems","Chronic hepatitis, Retinal dysplasia",19151,0.17,1058,mid-price,250,1800,4,4,4,5.34,278.0,3762,14131,1046,784,121,126,244,177,200
Poodle,non-sporting,3.04,8,21237.0,2,0.99,11.95,0.6,2,0.78,900,0.38,466.0,0.23,2,0.75,2,0.5,3.92,22.0,39.0,3.04,8.0,medium,no data,no data,41,16,Brightest,<5,>95,1178,"fatal stomach bloat, skin disorder","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)",18382,0.31,900,mid-price,500,1500,5.75,4,7.5,7.67,400.0,4783,12499,1046,784,121,126,244,177,200
Bichon Frise,non-sporting,3.03,39,19735.0,45,0.45,12.21,0.68,0,1.0,693,0.62,324.0,0.68,1,0.5,1,1.0,4.28,25.0,16.0,3.03,39.0,small,no data,no data,27,10.5,Average,25-40,>50,146,none,none,17063,0.53,693,budget,250,1500,4,4,4,5.34,278.0,3400,12771,1046,784,121,126,244,177,200
German Shorthaired Pointer,sporting,3.03,15,25842.0,17,0.84,11.46,0.49,1,0.89,545,0.83,971.0,0.05,2,0.75,1,1.0,4.41,23.0,12.0,3.03,15.0,large,28,62.5,61,24,Excellent,15-May,>85,203,hip problems,hip dysplasia,20849,0.09,545,budget,200,850,-,-,-,14,708.0,8117,11987,1046,784,121,126,244,177,200
Pointer,sporting,3.03,115,24445.0,43,0.49,12.42,0.75,1,0.89,294,0.99,710.0,0.06,2,0.75,1,1.0,4.4,24.0,13.0,3.03,115.0,large,27,59.5,65,25.5,Average,25-40,>50,145,hip problems,hip dysplasia,21049,0.08,294,budget,50,500,8.75,7.5,10,11.67,609.0,7565,12991,1046,784,121,126,244,177,200
Tibetan Spaniel,non-sporting,3.02,114,25549.0,46,0.43,14.42,0.99,0,1.0,1050,0.24,466.0,0.23,2,0.75,1,1.0,4.4,26.0,14.0,3.02,114.0,small,5,12,25,10,Average,25-40,>50,125,none,none,22104,0.02,1050,mid-price,500,2000,5.75,4,7.5,7.67,400.0,5772,15083,1046,784,121,126,244,177,200
Labrador Retriever,sporting,2.97,1,21299.0,7,0.93,12.04,0.63,3,0.67,810,0.51,466.0,0.23,2,0.75,1,1.0,4.35,27.0,15.0,2.97,1.0,medium,31,67.5,58,23,Brightest,<5,>95,1101,"elbows, hips, eyes","elbow dysplasia, hip dysplasia, retinal dysplasia",18422,0.3,810,mid-price,299,1500,5.75,4,7.5,7.67,400.0,4819,12593,1046,784,121,126,244,177,200
Maltese,toy,2.93,23,19084.0,59,0.25,12.25,0.69,1,0.89,650,0.69,270.0,1.0,1,0.5,3,0.0,3.18,29.0,65.0,2.93,23.0,small,2,5,23,9,Fair,40-80,>30,42,heart problems,Patent ductus arteriosus (PDA),16073,0.67,650,budget,300,1000,-,-,-,4,197.0,2410,12813,1046,784,121,126,244,177,200
Pomeranian,toy,2.93,17,15792.0,23,0.77,9.67,0.23,1,0.89,670,0.66,324.0,0.68,2,0.75,2,0.5,3.81,28.0,45.0,2.93,17.0,small,2,5,no data,no data,Excellent,15-May,>85,29,heart problems,Patent ductus arteriosus (PDA),13677,0.93,670,budget,200,1500,4,4,4,5.34,278.0,2693,10114,1046,784,121,126,244,177,200
Shih Tzu,toy,2.93,11,21152.0,70,0.13,13.2,0.92,1,0.89,583,0.8,324.0,0.68,1,0.5,1,1.0,4.18,29.0,19.0,2.93,11.0,small,6,12.5,25,9.75,Lowest,80-100,<25,97,eye problems,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",18264,0.32,583,budget,275,1200,4,4,4,5.34,278.0,3675,13806,1046,784,121,126,244,177,200
Australian Shepherd,herding,2.91,24,21458.0,42,0.52,12.28,0.71,2,0.78,565,0.82,466.0,0.23,2,0.75,2,0.5,3.78,31.0,46.0,2.91,24.0,medium,no data,no data,52,20.5,Average,25-40,>50,641,"deafness, hip problems","deafness, hip dysplasia",18524,0.29,565,budget,250,1000,5.75,4,7.5,7.67,400.0,4915,12844,1046,784,121,126,244,177,200
Yorkshire Terrier,toy,2.85,5,20701.0,27,0.75,12.6,0.84,4,0.56,1057,0.23,324.0,0.68,1,0.5,3,0.0,3.1,32.0,69.0,2.85,5.0,small,2,5.5,no data,no data,Above average,15-25,>70,63,"knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia",17944,0.38,1057,mid-price,275,2800,4,4,4,5.34,278.0,3508,13179,1046,784,121,126,244,177,200
Irish Setter,sporting,2.84,70,20323.0,35,0.61,11.63,0.53,2,0.78,525,0.86,466.0,0.23,2,0.75,1,1.0,4.21,33.0,17.0,2.84,70.0,large,29,65,66,26,Above average,15-25,>70,922,"hip, eye problems","Hip dysplasia, Progressive retinal atrophy",17544,0.45,525,budget,300,1000,5.75,4,7.5,7.67,400.0,4655,12164,1046,784,121,126,244,177,200
Pharaoh Hound,hound,2.81,151,21047.0,37,0.56,11.83,0.57,0,1.0,913,0.37,466.0,0.23,2,0.75,2,0.5,3.69,34.0,47.0,2.81,151.0,medium,no data,no data,58,23,Above average,15-25,>70,15,none,none,18221,0.33,913,mid-price,475,1000,5.75,4,7.5,7.67,400.0,4735,12374,1046,784,121,126,244,177,200
Brussels Griffon,toy,2.8,77,19551.0,59,0.25,12.0,0.61,0,1.0,833,0.45,324.0,0.68,2,0.75,3,0.0,3.18,36.0,66.0,2.8,77.0,small,4,9,no data,no data,Fair,40-80,>30,71,none,none,16925,0.56,833,mid-price,500,1500,4,4,4,5.34,278.0,3341,12551,1046,784,121,126,244,177,200
Golden Retriever,sporting,2.8,4,21447.0,4,0.97,12.04,0.63,4,0.56,958,0.31,466.0,0.23,2,0.75,1,1.0,4.17,37.0,20.0,2.8,4.0,medium,27,60,58,22.75,Brightest,<5,>95,1314,"elbows, hips, eyes, heart ","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis",18571,0.28,958,mid-price,325,2500,5.75,4,7.5,7.67,400.0,4819,12593,1046,784,121,126,244,177,200
Samoyed,working,2.8,69,25352.0,33,0.68,12.44,0.76,1,0.89,1162,0.15,710.0,0.06,2,0.75,1,1.0,4.18,35.0,18.0,2.8,69.0,medium,no data,no data,54,21.25,Above average,15-25,>70,232,hip problems,hip dysplasia,21951,0.03,1162,mid-price,795,1400,8.75,7.5,10,11.67,609.0,7577,13012,1046,784,121,126,244,177,200
Beagle,hound,2.79,3,19468.0,73,0.09,12.3,0.72,1,0.89,288,1.0,324.0,0.68,1,0.5,1,1.0,4.04,38.0,28.0,2.79,3.0,small,no data,no data,36,14,Lowest,80-100,<25,303,heart problems,Pulmonic stenosis,16777,0.59,288,budget,100,600,4,4,4,5.34,278.0,3425,12865,1046,784,121,126,244,177,200
Chesapeake Bay Retriever,sporting,2.78,46,16697.0,27,0.75,9.48,0.22,1,0.89,522,0.87,466.0,0.23,2,0.75,1,1.0,4.16,39.0,21.0,2.78,46.0,large,31,67.5,60,23.5,Above average,15-25,>70,776,hip problems,hip dysplasia,14432,0.84,522,budget,175,795,5.75,4,7.5,7.67,400.0,3794,9916,1046,784,121,126,244,177,200
Tibetan Terrier,non-sporting,2.75,86,20336.0,62,0.22,12.31,0.74,0,1.0,1140,0.17,324.0,0.68,2,0.75,2,0.5,3.63,40.0,51.0,2.75,86.0,small,11,24,39,15.5,Fair,40-80,>30,102,none,none,17643,0.41,1140,mid-price,450,1600,4,4,4,5.34,278.0,3428,12876,1046,784,121,126,244,177,200
Gordon Setter,sporting,2.73,94,19605.0,34,0.64,11.1,0.41,1,0.89,700,0.59,466.0,0.23,2,0.75,1,1.0,4.1,41.0,23.0,2.73,94.0,large,28,62.5,64,25,Above average,15-25,>70,169,hip problems,hip dysplasia,16953,0.55,700,mid-price,500,100,5.75,4,7.5,7.67,400.0,4443,11610,1046,784,121,126,244,177,200
English Setter,sporting,2.72,87,20312.0,37,0.56,11.57,0.52,2,0.78,615,0.74,466.0,0.23,2,0.75,1,1.0,4.09,43.0,25.0,2.72,87.0,large,no data,no data,62,24.5,Above average,15-25,>70,402,"deafness, hip problems","deafness, hip dysplasia",17548,0.44,615,budget,250,1000,5.75,4,7.5,7.67,400.0,4631,12102,1046,784,121,126,244,177,200
Pug,toy,2.72,26,18527.0,57,0.29,11.0,0.39,1,0.89,469,0.92,405.0,0.63,2,0.75,1,1.0,4.09,42.0,24.0,2.72,26.0,medium,7,16,41,16,Fair,40-80,>30,163,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",15421,0.76,469,budget,250,699,-,-,-,6,295.0,3246,11505,1046,784,121,126,244,177,200
Briard,herding,2.71,125,19673.0,30,0.7,11.17,0.43,1,0.89,650,0.67,466.0,0.23,1,0.5,1,1.0,3.96,44.0,33.0,2.71,125.0,large,no data,no data,62,24.5,Above average,15-25,>70,71,hip problems,hip dysplasia,17004,0.54,650,budget,500,800,5.75,4,7.5,7.67,400.0,4471,11683,1046,784,121,126,244,177,200
Norfolk Terrier,terrier,2.71,120,24308.0,56,0.3,13.07,0.91,0,1.0,2083,0.02,466.0,0.23,2,0.75,2,0.5,3.58,45.0,53.0,2.71,120.0,small,5,12,24,9.5,Fair,40-80,>30,324,none,none,21185,0.07,2083,high-end,250,2500,5.75,4,7.5,7.67,400.0,5231,13671,1046,784,121,126,244,177,200
Flat-Coated Retriever,sporting,2.7,90,16000.0,18,0.82,9.02,0.14,0,1.0,600,0.77,466.0,0.23,1,0.5,1,1.0,3.95,46.0,34.0,2.7,90.0,medium,no data,no data,59,23.25,Excellent,15-May,>85,1198,none,none,13845,0.9,600,budget,300,1200,5.75,4,7.5,7.67,400.0,3610,9434,1046,784,121,126,244,177,200
Boston Terrier,non-sporting,2.61,22,17741.0,54,0.31,10.92,0.38,1,0.89,690,0.63,324.0,0.68,2,0.75,1,1.0,3.98,47.0,32.0,2.61,22.0,medium,NA (3 classes),NA (3 classes),no data,no data,Average,25-40,>50,42,breathing problems,brachycephalic syndrome,15352,0.77,690,budget,400,1050,4,4,4,5.34,278.0,3041,11422,1046,784,121,126,244,177,200
Doberman Pinscher,working,2.59,13,18397.0,5,0.95,10.33,0.32,4,0.56,790,0.54,466.0,0.23,2,0.75,2,0.5,3.47,49.0,57.0,2.59,13.0,large,no data,no data,66,26,Brightest,<5,>95,201,"heart, spine, blood clotting disorders","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease",15929,0.7,790,mid-price,300,1200,5.75,4,7.5,7.67,400.0,4135,10805,1046,784,121,126,244,177,200
English Toy Spaniel,toy,2.59,129,17521.0,45,0.45,10.1,0.29,0,1.0,925,0.33,405.0,0.63,2,0.75,2,0.5,3.47,48.0,56.0,2.59,129.0,small,5,11,25,10,Average,25-40,>50,22,none,none,14670,0.83,925,mid-price,150,1500,-,-,-,6,295.0,2981,10564,1046,784,121,126,244,177,200
Belgian Tervuren,herding,2.57,108,19132.0,14,0.85,10.6,0.34,2,0.78,1070,0.21,466.0,0.23,2,0.75,1,1.0,3.94,52.0,38.0,2.57,108.0,large,no data,no data,61,24,Excellent,15-May,>85,105,"epilepsy, eye problems","Idiopathic epilepsy, Pannus - chronic superficial keratitis",16600,0.61,1070,mid-price,850,1200,5.75,4,7.5,7.67,400.0,4243,11087,1046,784,121,126,244,177,200
Cavalier King Charles Spaniel,toy,2.57,21,18639.0,44,0.48,11.29,0.46,2,0.78,1017,0.28,324.0,0.68,2,0.75,1,1.0,3.95,50.0,35.0,2.57,21.0,small,7,15.5,32,12.5,Average,25-40,>50,829,"heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",16169,0.66,1017,mid-price,100,1800,4,4,4,5.34,278.0,3144,11809,1046,784,121,126,244,177,200
Dalmatian,non-sporting,2.57,73,19886.0,39,0.55,11.27,0.45,2,0.78,695,0.61,466.0,0.23,2,0.75,1,1.0,3.95,50.0,35.0,2.57,73.0,medium,no data,no data,53,21,Above average,15-25,>70,404,"deafness, urinary stones","Deafness, Urolithiasis (stones)",17194,0.52,695,budget,350,1000,5.75,4,7.5,7.67,400.0,4511,11788,1046,784,121,126,244,177,200
Basset Hound,hound,2.54,41,18328.0,71,0.11,11.43,0.48,2,0.78,490,0.91,324.0,0.68,2,0.75,1,1.0,3.92,53.0,39.0,2.54,41.0,small,no data,no data,36,14,Lowest,80-100,<25,152,"blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",15827,0.72,490,budget,150,1000,4,4,4,5.34,278.0,3183,11955,1046,784,121,126,244,177,200
Basenji,hound,2.51,93,22096.0,79,0.02,13.58,0.94,3,0.67,940,0.32,324.0,0.68,2,0.75,2,0.5,3.38,54.0,59.0,2.51,93.0,medium,10,23,42,16.5,Lowest,80-100,<25,46,"kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",19125,0.18,940,mid-price,600,1200,4,4,4,5.34,278.0,3781,14204,1046,784,121,126,244,177,200
Italian Greyhound,toy,2.49,65,16463.0,60,0.24,10.02,0.28,0,1.0,800,0.52,324.0,0.68,2,0.75,3,0.0,2.86,55.0,77.0,2.49,65.0,small,no data,no data,36,14,Fair,40-80,>30,203,none,none,14270,0.86,800,mid-price,500,120,4,4,4,5.34,278.0,2790,10480,1046,784,121,126,244,177,200
Staffordshire Bull Terrier,terrier,2.48,76,21650.0,49,0.37,12.05,0.66,1,0.89,1145,0.16,466.0,0.23,2,0.75,1,1.0,3.86,56.0,41.0,2.48,76.0,medium,14,31,38,15,Average,25-40,>50,157,hip problems,hip dysplasia,18772,0.25,1145,mid-price,500,1500,5.75,4,7.5,7.67,400.0,4823,12604,1046,784,121,126,244,177,200
Bouvier des Flandres,herding,2.47,83,18959.0,29,0.72,10.34,0.33,1,0.89,1335,0.06,466.0,0.23,2,0.75,1,1.0,3.84,57.0,42.0,2.47,83.0,large,no data,no data,65,25.5,Above average,15-25,>70,1079,hip problems,hip dysplasia,16489,0.62,1335,mid-price,800,2500,5.75,4,7.5,7.67,400.0,4139,10815,1046,784,121,126,244,177,200
