dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Belgian Malinois,herding,,74,20054.5,22,,9.73,,0,,1080,,,,2,,1,,,,,,,large,no data,no data,61,24,Excellent,15-May,>85,-,none,none,no data,,1080,mid-price,550,2000,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Belgian Sheepdog,herding,,118,20054.5,15,,9.73,,4,,no data,,,,-,,-,,,,,,,large,no data,no data,61,24,Excellent,15-May,>85,-,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Black and Tan Coonhound,hound,,109,20054.5,44,,9.73,,0,,325,,,,-,,-,,,,,,,large,no data,no data,64,25,Average,25-40,>50,-,none,none,no data,,325,budget,200,500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Black Russian Terrier,working,,128,20054.5,no data,,11.0,,0,,2833,,,,-,,-,,,,,,,large,no data,no data,71,28,no data,no data,no data,4,none,none,no data,,2833,high-end,2500,3000,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Bluetick Coonhound,hound,,136,20054.5,no data,,9.73,,0,,370,,,,-,,-,,,,,,,large,28,62.5,61,24,no data,no data,no data,-,none,none,no data,,370,budget,200,500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Boykin Spaniel,sporting,,138,20054.5,no data,,11.13,,no data,,531,,,,-,,-,,,,,,,medium,no data,no data,41,16,no data,no data,no data,-,no data,no data,no data,,531,budget,200,800,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Canaan Dog,herding,,168,20054.5,no data,,14.67,,0,,no data,,,,2,,1,,,,,,,medium,20,45,55,21.5,no data,no data,no data,2,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,5872,15344,1046,784,121,126,244,177,200
Cane Corso,working,,67,20000.0,no data,,11.0,,no data,,1070,,,,-,,-,,,,,,,large,no data,no data,64,25,no data,no data,no data,-,no data,no data,no data,,1070,mid-price,900,1500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Cardigan Welsh Corgi,herding,,81,59792.0,26,,12.7,,0,,828,,,,-,,-,,,,,,,small,14,31.5,29,11.5,Excellent,15-May,>85,53,none,none,no data,,828,mid-price,395,1085,no data,no data,no data,no data,,no data,13284,1046,784,121,126,244,177,200
Cesky Terrier,terrier,,106,20054.5,no data,,8.42,,no data,,no data,,,,2,,1,,,,,,,small,9,19,29,11.5,no data,no data,no data,9,no data,no data,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,3370,8807,1046,784,121,126,244,177,200
Chinese Crested,toy,,61,20054.5,61,,10.08,,no data,,538,,,,-,,-,,,,,,,small,no data,no data,30,12,Fair,40-80,>30,829,no data,no data,no data,,538,budget,125,1300,no data,no data,no data,no data,,no data,10543,1046,784,121,126,244,177,200
Chinese Shar Pei,non-sporting,,50,20054.5,51,,11.13,,4,,840,,,,-,,-,,,,,,,medium,24,52.5,48,19,Average,25-40,>50,-,"canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",no data,,840,mid-price,350,2000,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Collie,herding,,36,20054.5,16,,9.73,,2,,650,,,,-,,-,,,,,,,large,28,62.5,61,24,Excellent,15-May,>85,-,"eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",no data,,650,budget,350,950,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Curly Coated Retriever,sporting,,154,20054.5,41,,10.75,,0,,no data,,,,2,,2,,,,,,,large,no data,no data,64,25,Average,25-40,>50,40,none,none,no data,,no data,no data,no data,no data,8.75,7.5,10,11.67,,6548,11244,1046,784,121,126,244,177,200
English Foxhound,hound,,171,20054.5,46,,9.73,,0,,no data,,,,-,,-,,,,,,,large,no data,no data,61,24,Average,25-40,>50,-,none,none,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Entlebucher Mountain Dog,herding,,146,20054.5,no data,,11.13,,no data,,1167,,,,-,,-,,,,,,,medium,no data,no data,47,18.5,no data,no data,no data,-,no data,no data,no data,,1167,mid-price,"1,000","1,300",no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
